Age,"How much experience do you have with using Virtual Reality (VR) glasses? (1- None, 3 - Neutral, 6- A lot)","Were the tasks mentally demanding? (1- Very little, 3 - Neutral, 6- Very demanding)","Were the tasks physically demanding? (Uncomfortable movements or positions, overexertion, etc.) (1- Very little, 3 - Neutral, 6- Very demanding)","Did you have to put in a lot of effort to carry out the tasks? (1- Very little, 3 - Neutral, 6- A lot of effort)","How frustrated, stressed, or irritated did you feel? (1- Very little, 3 - Neutral, 6- A lot)","The interactions seemed easy to use (1- Very easy, 3 - Neutral, 6- Very difficult)","The interactions demotivated me from using the application (1- Not at all, 3 - Neutral, 6- A lot)","The interactions are understandable and easy to learn (1- Very little, 3 - Neutral, 6- Very understandable and easy to learn)","The interactions seemed friendly and suitable for my limitations (1- Very little, 3 - Neutral, 6- Very friendly and suitable)","I found it difficult to grab, release, move around, and add products (1- Very little, 3 - Neutral, 6- Very difficult)","I would like to use these interactions frequently if I had to use the application (1- Strongly disagree, 3 - Neutral, 6- Strongly agree)","I think I would need help from a technically knowledgeable person to use the system (1- Strongly disagree, 3 - Neutral, 6- Strongly agree)","I find the system very cumbersome to use (1- Strongly disagree, 3 - Neutral, 6- Strongly agree)","I felt very safe using the system (1- Strongly disagree, 3 - Neutral, 6- Strongly agree)","I felt very immersed in the virtual environment (1- Strongly disagree, 3 - Neutral, 6- Strongly agree)","I felt general discomfort or dizziness (1- Strongly disagree, 3 - Neutral, 6- Strongly agree)","I ended up with a headache (1- Strongly disagree, 3 - Neutral, 6- Strongly agree)","I felt blurry vision or eye fatigue (1- Strongly disagree, 3 - Neutral, 6- Strongly agree)","I felt tired (1- Strongly disagree, 3 - Neutral, 6- Strongly agree)"
38,3,1,1,1,1,3,2,1,1,2,2,4,2,2,2,1,1,1,1
44,6,1,2,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1
48,2,1,1,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1
22,3,1,3,4,3,3,1,2,3,3,1,2,4,1,1,1,1,1,1
54,3,1,2,1,2,3,1,2,1,2,3,1,1,1,3,1,1,2,1
19,2,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1
48,2,3,3,1,1,1,3,2,2,1,1,2,2,1,2,1,1,1,1
42,1,2,2,2,1,1,1,2,1,2,1,2,2,2,1,1,1,2,1
21,1,3,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1
34,2,2,3,3,2,1,2,1,2,1,2,2,1,1,2,1,2,1,2
28,3,1,2,2,1,2,1,2,3,2,2,2,1,2,2,1,2,2,2
14,1,1,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1
